Nivel de cumplimiento del horario de las clases diarias;4.195555556
Nivel de cumplimiento del horario de las tutorías;4.173333333
Nivel de cumplimiento de los programas de las asignaturas;4.057777778
Nivel de cumplimiento de los plazos de notificación de calificaciones;3.377777778
Grado de utilidad del Campus Virtual;4.36
Grado de utilidad de las tutorías presenciales;4.173333333
Los contenidos de las asignaturas están organizados;3.875555556
Nivel de solapamiento de contenidos entre asignaturas;3.355555556
Formación recibida en relación con las competencias vinculadas a la Titulación;3.697777778
Metodología docente del profesorado;3.662222222
Información disponible en la página web del centro;3.76
Distribución de tareas a lo largo del curso;3.337777778
Instalaciones y recursos de apoyo a la docencia (laboratorios. talleres. aulas de informática. proyectores);4.062222222
Utilidad de los contenidos en la Guia Docente;3.582222222
Criterios de evaluación de las asignaturas;3.462222222
Satisfacción global con la titulación;3.724444444
Coordinación entre las clases teóricas y las clases prácticas;3.737777778
